Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,Gls90,Ast90,G+A,Gls+Ast,Sh,SoT%,Sh/90,SoT/90,Score_forward
Marcus Thuram,32000000,FRA,FW,M'gladbach,Bundesliga,21.0,63.0,60.0,4773.0,19.0,9.0,0.36,0.17,0.53,28.0,119.0,51.26,2.24,1.15,8.313999999999998
Wissam Ben Yedder,40000000,FRA,FW,Monaco,Ligue1,28.0,61.0,56.0,4976.0,36.0,13.0,0.65,0.24,0.89,49.0,136.0,50.0,2.46,1.23,8.2915
Sébastien Haller,36000000,FRA,FW,West Ham,Premier Leauge,25.0,56.0,47.0,4329.0,22.0,10.0,0.46,0.21,0.67,32.0,98.0,47.96,2.04,0.98,7.8260000000000005
Wout Weghorst,30000000,NED,FW,Wolfsburg,Bundesliga,26.0,66.0,63.0,5664.0,33.0,10.0,0.52,0.16,0.68,43.0,142.0,47.18,2.26,1.06,7.759
Arkadiusz Milik,32000000,POL,FW,Napoli,Serie A,25.0,53.0,42.0,3726.0,27.0,3.0,0.65,0.07,0.72,30.0,168.0,43.45,4.06,1.76,7.578
Karim Benzema,32000000,FRA,FW,Real Madrid,La Liga,31.0,67.0,65.0,5595.0,38.0,13.0,0.61,0.21,0.82,51.0,204.0,43.14,3.28,1.42,7.4035
Duván Zapata,36000000,COL,FW,Atalanta,Serie A,28.0,55.0,48.0,4180.0,37.0,12.0,0.8,0.26,1.06,49.0,180.0,41.67,3.88,1.61,7.384499999999999
Iñaki Williams,40000000,ESP,FW,Athletic Club,La Liga,25.0,71.0,66.0,5647.0,18.0,5.0,0.29,0.08,0.37,23.0,111.0,45.95,1.77,0.81,7.372
Álvaro Morata,36000000,ESP,FW,Atlético Madrid,La Liga,26.0,45.0,32.0,2757.0,14.0,1.0,0.46,0.03,0.49,15.0,95.0,43.16,3.1,1.34,7.263999999999999
Moussa Dembélé,40000000,FRA,FW,Lyon,Ligue1,23.0,60.0,45.0,4204.0,31.0,6.0,0.66,0.13,0.79,37.0,136.0,41.91,2.91,1.22,7.138499999999999
Ciro Immobile,40000000,ITA,FW,Lazio,Serie A,29.0,65.0,59.0,5310.0,44.0,14.0,0.75,0.24,0.99,58.0,216.0,38.89,3.66,1.42,6.9
Tammy Abraham,40000000,ENG,FW,Chelsea,Premier Leauge,21.0,28.0,24.0,2034.0,13.0,3.0,0.58,0.13,0.71,16.0,78.0,39.74,3.45,1.37,6.893000000000001
Lucas Ocampos,32000000,ARG,FW,Sevilla,La Liga,25.0,62.0,58.0,5080.0,16.0,11.0,0.28,0.19,0.47,27.0,130.0,38.46,2.3,0.89,6.384
Maxi Gómez,32000000,URU,FW,Valencia,La Liga,22.0,63.0,55.0,4815.0,21.0,7.0,0.39,0.13,0.52,28.0,115.0,38.26,2.15,0.82,6.3445
Marco Asensio,32000000,ESP,FW,Real Madrid,La Liga,23.0,33.0,19.0,1829.0,2.0,5.0,0.1,0.25,0.35,7.0,47.0,38.3,2.31,0.89,6.316999999999999
Rodrigo,40000000,ESP,FW,Valencia,La Liga,28.0,60.0,52.0,4408.0,12.0,13.0,0.25,0.27,0.52,25.0,115.0,37.39,2.35,0.88,6.247
Andrea Belotti,32000000,ITA,FW,Torino,Serie A,25.0,64.0,63.0,5574.0,27.0,5.0,0.44,0.08,0.52,32.0,193.0,36.27,3.12,1.13,6.2425
Ansu Fati,36000000,ESP,WB,Barcelona,La Liga,16.0,20.0,9.0,837.0,5.0,1.0,0.54,0.11,0.65,6.0,28.0,35.71,3.01,1.08,6.1805
Raúl Jiménez,40000000,MEX,FW,Wolves,Premier Leauge,28.0,70.0,67.0,5827.0,28.0,13.0,0.43,0.2,0.63,41.0,216.0,31.02,3.34,1.03,5.531499999999999
Callum Hudson-Odoi,31500000,ENG,FW,Chelsea,Premier Leauge,18.0,27.0,11.0,1170.0,1.0,5.0,0.08,0.38,0.46,6.0,28.0,25.0,2.15,0.54,4.322
Álvaro Morata,36000000,ESP,FW,Atlético Madrid,La Liga,,,,,,,,,,,,,,,
