Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Ast,Passes Completed,Passes Attempted,Cmp%,Touches,Int,Clr,Score_midfielder
Axel Witsel,21500000,BEL,MF,Dortmund,Bundesliga,30.0,61.0,57.0,5118.0,6.0,3947.0,4213.0,93.69,4734.0,80.0,71.0,1874.4189999999999
Marc Bartra,17500000,ESP,"DF,MF",Betis,La Liga,28.0,61.0,60.0,5272.0,1.0,3291.0,3753.0,87.69,4490.0,94.0,329.0,1640.469
Remo Freuler,20000000,SUI,MF,Atalanta,Serie A,27.0,58.0,55.0,4719.0,8.0,3084.0,3504.0,88.01,4122.0,60.0,78.0,1521.201
Marc Roca,16000000,ESP,MF,Espanyol,La Liga,22.0,64.0,64.0,5629.0,3.0,2867.0,3411.0,84.05,3980.0,65.0,139.0,1447.0549999999998
Abdoulaye Doucouré,20000000,FRA,MF,Watford,Premier Leauge,26.0,66.0,64.0,5716.0,8.0,2787.0,3420.0,81.49,4140.0,59.0,83.0,1434.799
Jordan Veretout,20000000,FRA,MF,Roma,Serie A,26.0,59.0,57.0,5035.0,3.0,2732.0,3346.0,81.65,3817.0,66.0,83.0,1392.4150000000002
Valentin Rongier,16000000,FRA,MF,Marseille,Ligue1,24.0,59.0,56.0,5016.0,7.0,2693.0,3237.0,83.19,3868.0,65.0,39.0,1368.169
Franck Kessié,20000000,CIV,MF,Milan,Serie A,22.0,60.0,58.0,5129.0,3.0,2556.0,2933.0,87.15,3544.0,55.0,91.0,1273.215
Maximilian Arnold,17000000,GER,MF,Wolfsburg,Bundesliga,25.0,66.0,65.0,5693.0,14.0,2257.0,3010.0,74.98,3635.0,67.0,92.0,1217.8479999999997
Jefferson Lerma,20000000,COL,MF,Bournemouth,Premier Leauge,24.0,57.0,54.0,4678.0,2.0,2290.0,2776.0,82.49,3353.0,101.0,137.0,1177.399
Moussa Sissoko,20000000,FRA,MF,Tottenham,Premier Leauge,29.0,51.0,48.0,4199.0,4.0,2132.0,2472.0,86.25,2922.0,37.0,55.0,1064.5249999999999
Fred,17500000,BRA,MF,Manchester Utd,Premier Leauge,26.0,43.0,36.0,3132.0,1.0,2081.0,2441.0,85.25,2910.0,54.0,31.0,1045.025
Robin Koch,17000000,GER,"DF,MF",Freiburg,Bundesliga,23.0,56.0,52.0,4606.0,0.0,1992.0,2378.0,83.77,2887.0,78.0,229.0,1022.777
Dennis Praet,19000000,BEL,MF,Leicester City,Premier Leauge,25.0,56.0,45.0,3904.0,5.0,1956.0,2356.0,83.02,2836.0,50.0,49.0,999.202
Leandro Paredes,20000000,ARG,MF,Paris S-G,Ligue1,25.0,33.0,22.0,2063.0,2.0,2024.0,2216.0,91.34,2409.0,28.0,32.0,971.684
Aleksandr Golovin,20000000,RUS,MF,Monaco,Ligue1,23.0,55.0,51.0,4351.0,7.0,1761.0,2276.0,77.37,2835.0,48.0,25.0,937.2369999999999
Bryan Cristante,20000000,ITA,MF,Roma,Serie A,24.0,52.0,39.0,3569.0,6.0,1785.0,2163.0,82.52,2590.0,45.0,69.0,916.252
Valentin Rongier,16000000,FRA,MF,Nantes,Ligue1,24.0,39.0,39.0,3496.0,6.0,1750.0,2152.0,81.32,2568.0,31.0,23.0,901.632
Mesut Özil,17500000,GER,MF,Arsenal,Premier Leauge,30.0,42.0,38.0,3173.0,4.0,1782.0,2070.0,86.09,2352.0,10.0,5.0,884.359
Kevin Kampl,17500000,SVN,MF,RB Leipzig,Bundesliga,28.0,38.0,33.0,2788.0,7.0,1695.0,2017.0,84.04,2310.0,51.0,19.0,856.154
Lucas Tousart,16000000,FRA,MF,Lyon,Ligue1,22.0,54.0,39.0,3490.0,2.0,1672.0,1940.0,86.19,2359.0,50.0,71.0,842.3190000000001
Francis Coquelin,19000000,FRA,MF,Valencia,La Liga,28.0,47.0,38.0,3350.0,1.0,1634.0,1858.0,87.94,2247.0,86.0,62.0,816.0939999999999
Douglas Luiz,18000000,BRA,MF,Aston Villa,Premier Leauge,21.0,53.0,38.0,3569.0,2.0,1472.0,1799.0,81.82,2220.0,47.0,64.0,763.282
Matías Vecino,18500000,URU,MF,Inter,Serie A,27.0,48.0,37.0,3273.0,3.0,1363.0,1713.0,79.57,2126.0,30.0,55.0,717.2570000000001
Ross Barkley,21500000,ENG,MF,Chelsea,Premier Leauge,25.0,43.0,23.0,2090.0,8.0,1347.0,1507.0,89.38,1816.0,16.0,26.0,667.4379999999999
Mauro Arambarri,20000000,URU,MF,Getafe,La Liga,23.0,62.0,60.0,5219.0,3.0,1107.0,1633.0,67.79,2278.0,69.0,76.0,650.679
Dwight McNeil,18000000,ENG,MF,Burnley,Premier Leauge,19.0,53.0,51.0,4389.0,11.0,1107.0,1645.0,67.29,2226.0,38.0,57.0,650.1290000000001
Amadou Diawara,18500000,GUI,MF,Roma,Serie A,22.0,27.0,19.0,1591.0,0.0,1088.0,1225.0,88.82,1349.0,37.0,19.0,534.8820000000001
Tom Davies,16000000,ENG,MF,Everton,Premier Leauge,21.0,40.0,27.0,2520.0,0.0,918.0,1169.0,78.53,1484.0,43.0,25.0,490.303
Lewis Cook,16000000,ENG,MF,Bournemouth,Premier Leauge,22.0,36.0,21.0,1957.0,0.0,866.0,1094.0,79.16,1307.0,28.0,23.0,456.416
Gaetano Castrovilli,20000000,ITA,MF,Fiorentina,Serie A,22.0,27.0,27.0,2255.0,2.0,769.0,954.0,80.61,1357.0,16.0,22.0,413.861
Suat Serdar,20000000,GER,MF,Schalke 04,Bundesliga,22.0,46.0,39.0,3328.0,1.0,719.0,960.0,74.9,1499.0,50.0,18.0,409.94
Harvey Barnes,17500000,ENG,MF,Leicester City,Premier Leauge,21.0,46.0,33.0,2844.0,8.0,735.0,975.0,75.38,1372.0,8.0,10.0,409.838
Nahitan Nández,21000000,URU,MF,Cagliari,Serie A,23.0,27.0,24.0,2178.0,3.0,736.0,978.0,75.26,1241.0,14.0,27.0,403.37600000000003
Sean Longstaff,17500000,ENG,MF,Newcastle Utd,Premier Leauge,21.0,31.0,22.0,2023.0,1.0,739.0,938.0,78.78,1208.0,29.0,41.0,397.578
Carles Aleñá,18000000,ESP,MF,Barcelona,La Liga,21.0,21.0,8.0,809.0,0.0,683.0,743.0,91.92,835.0,2.0,5.0,333.492
