Unnamed: 0.1,Unnamed: 0,Player,Market value,Nation,Pos,Club_x,Leauge,Age,MP,Starts,Min,Gls,Ast,PK_x,PKatt_x,CrdY,CrdR,Gls90,Ast90,G+A,Gls+Ast,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Tackle,TackleW,TakleD,Tkl%,Press,Succ_x,%,Blocks,ShotB,PassB,Int,Clr,Passes Completed,Passes Attempted,Cmp%,Touches,Succ_y,Att,Succ%,#Pl
0,0,Kylian Mbappé,180000000,FRA,FW,Paris S-G,Ligue1,20.0,49.0,41.0,3856.0,51.0,12.0,1.0,2.0,5.0,1.0,1.19,0.28,1.47,63.0,0.0,0.0,209.0,114.0,0.0,54.55,4.88,2.66,0.24,0.45,11.0,6.0,2.0,11.1,418.0,98.0,23.44,14.0,6.0,8.0,7.0,3.0,1152.0,1494.0,77.11,2120.0,132.0,247.0,53.44,152.0
1,1,Raheem Sterling,128000000,ENG,FW,Manchester City,Premier Leauge,24.0,60.0,56.0,4968.0,29.0,10.0,0.0,1.0,8.0,0.0,0.53,0.18,0.71,39.0,0.0,1.0,153.0,62.0,1.0,40.52,2.77,1.12,0.19,0.47,62.0,41.0,18.0,31.0,849.0,249.0,29.33,58.0,4.0,54.0,27.0,13.0,1963.0,2414.0,81.32,3209.0,139.0,258.0,53.88,151.0
2,2,Neymar,128000000,BRA,"MF,FW",Paris S-G,Ligue1,27.0,32.0,31.0,2757.0,28.0,13.0,9.0,10.0,6.0,1.0,0.91,0.42,1.33,41.0,4.0,5.0,115.0,52.0,10.0,45.22,3.75,1.7,0.24,0.54,31.0,17.0,9.0,18.5,381.0,103.0,27.03,24.0,0.0,24.0,10.0,2.0,1588.0,2016.0,78.77,2696.0,164.0,292.0,56.16,184.0
3,3,Sadio Mané,120000000,SEN,FW,Liverpool,Premier Leauge,27.0,64.0,61.0,5327.0,37.0,8.0,0.0,0.0,4.0,0.0,0.63,0.14,0.77,45.0,0.0,0.0,150.0,72.0,0.0,48.0,2.53,1.22,0.25,0.51,90.0,61.0,22.0,34.9,1151.0,342.0,29.71,64.0,8.0,56.0,28.0,11.0,1728.0,2214.0,78.05,3050.0,128.0,212.0,60.38,142.0
4,4,Mohamed Salah,120000000,EGY,FW,Liverpool,Premier Leauge,27.0,65.0,64.0,5579.0,39.0,15.0,6.0,6.0,2.0,0.0,0.63,0.24,0.87,54.0,3.0,3.0,240.0,103.0,3.0,42.92,3.87,1.66,0.16,0.38,34.0,25.0,7.0,15.4,1103.0,320.0,29.01,31.0,5.0,26.0,12.0,5.0,1516.0,2029.0,74.72,2893.0,137.0,229.0,59.83,148.0
5,5,Harry Kane,120000000,ENG,FW,Tottenham,Premier Leauge,26.0,50.0,49.0,4382.0,29.0,6.0,6.0,6.0,8.0,0.0,0.6,0.12,0.72,35.0,2.0,2.0,160.0,67.0,5.0,41.88,3.29,1.38,0.18,0.43,25.0,16.0,5.0,21.4,743.0,179.0,24.09,38.0,14.0,24.0,5.0,34.0,744.0,1060.0,70.19,1684.0,67.0,121.0,55.37,74.0
6,6,Kevin De Bruyne,120000000,BEL,MF,Manchester City,Premier Leauge,28.0,48.0,38.0,3311.0,12.0,19.0,1.0,1.0,5.0,0.0,0.33,0.52,0.85,31.0,2.0,2.0,116.0,35.0,8.0,30.17,3.15,0.95,0.1,0.34,55.0,37.0,15.0,18.5,770.0,216.0,28.05,39.0,3.0,36.0,20.0,21.0,2084.0,2772.0,75.18,3201.0,74.0,112.0,66.07,79.0
7,7,Jadon Sancho,117000000,ENG,"MF,FW",Dortmund,Bundesliga,19.0,66.0,51.0,4748.0,29.0,30.0,0.0,0.0,4.0,0.0,0.55,0.57,1.12,59.0,0.0,0.0,91.0,48.0,1.0,52.75,1.72,0.91,0.32,0.6,33.0,29.0,11.0,30.4,959.0,266.0,27.74,50.0,1.0,49.0,30.0,9.0,2509.0,3053.0,82.18,3729.0,214.0,364.0,58.79,232.0
8,8,Lionel Messi,112000000,ARG,FW,Barcelona,La Liga,32.0,62.0,56.0,5143.0,58.0,30.0,9.0,10.0,7.0,0.0,1.01,0.52,1.53,88.0,5.0,5.0,297.0,140.0,32.0,47.14,5.2,2.45,0.2,0.41,27.0,21.0,3.0,0.0,571.0,165.0,28.9,20.0,0.0,20.0,9.0,1.0,2907.0,3678.0,79.04,4547.0,300.0,470.0,63.83,315.0
9,9,Trent Alexander-Arnold,99000000,ENG,DF,Liverpool,Premier Leauge,20.0,60.0,57.0,5174.0,4.0,24.0,0.0,0.0,7.0,0.0,0.07,0.42,0.49,28.0,0.0,0.0,69.0,19.0,11.0,27.54,1.2,0.33,0.06,0.21,109.0,50.0,57.0,39.5,746.0,240.0,32.17,85.0,12.0,73.0,76.0,152.0,3687.0,5072.0,72.69,5698.0,45.0,92.0,48.91,52.0
10,10,Antoine Griezmann,96000000,FRA,FW,Barcelona,La Liga,28.0,69.0,65.0,5561.0,23.0,12.0,3.0,3.0,7.0,0.0,0.37,0.19,0.56,35.0,0.0,0.0,161.0,67.0,0.0,41.61,2.61,1.08,0.14,0.34,73.0,41.0,18.0,29.6,1160.0,284.0,24.48,48.0,5.0,43.0,23.0,39.0,1976.0,2554.0,77.37,3157.0,50.0,92.0,54.35,54.0
11,11,João Félix,81000000,POR,"MF,FW",Atlético Madrid,La Liga,19.0,25.0,20.0,1657.0,6.0,1.0,0.0,0.0,6.0,0.0,0.33,0.05,0.38,7.0,0.0,0.0,61.0,18.0,2.0,29.51,3.31,0.98,0.1,0.33,9.0,4.0,0.0,0.0,207.0,47.0,22.71,11.0,1.0,10.0,11.0,9.0,401.0,519.0,77.26,759.0,21.0,59.0,35.59,25.0
12,12,Kai Havertz,81000000,GER,"MF,FW",Leverkusen,Bundesliga,20.0,64.0,62.0,5348.0,29.0,9.0,4.0,4.0,5.0,0.0,0.49,0.15,0.64,38.0,1.0,1.0,143.0,64.0,0.0,44.76,2.41,1.08,0.2,0.45,57.0,44.0,19.0,19.5,814.0,254.0,31.2,66.0,8.0,58.0,19.0,49.0,2784.0,3230.0,86.19,4083.0,126.0,221.0,57.01,133.0
13,13,Bernardo Silva,80000000,POR,"MF,FW",Manchester City,Premier Leauge,24.0,63.0,50.0,4521.0,12.0,14.0,0.0,0.0,8.0,0.0,0.24,0.28,0.52,26.0,0.0,0.0,104.0,35.0,0.0,33.65,2.07,0.7,0.12,0.34,90.0,68.0,22.0,26.2,1229.0,332.0,27.01,87.0,4.0,83.0,48.0,28.0,2596.0,3049.0,85.14,3603.0,91.0,140.0,65.0,97.0
14,14,N'Golo Kanté,80000000,FRA,MF,Chelsea,Premier Leauge,28.0,57.0,55.0,4747.0,7.0,4.0,0.0,0.0,7.0,0.0,0.13,0.08,0.21,11.0,0.0,0.0,46.0,12.0,0.0,26.09,0.87,0.23,0.15,0.58,137.0,104.0,32.0,36.4,1336.0,427.0,31.96,115.0,11.0,104.0,91.0,61.0,2778.0,3195.0,86.95,3842.0,60.0,103.0,58.25,66.0
15,15,Leroy Sané,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Virgil van Dijk,80000000,NED,DF,Liverpool,Premier Leauge,28.0,69.0,69.0,6174.0,8.0,3.0,0.0,0.0,2.0,0.0,0.12,0.04,0.16,11.0,0.0,0.0,57.0,19.0,0.0,33.33,0.83,0.28,0.14,0.42,63.0,44.0,19.0,40.0,286.0,99.0,34.62,70.0,33.0,37.0,72.0,454.0,5145.0,5686.0,90.49,6405.0,9.0,14.0,64.29,11.0
17,17,Paul Pogba,80000000,FRA,MF,Manchester Utd,Premier Leauge,26.0,45.0,41.0,3698.0,13.0,12.0,7.0,11.0,6.0,0.0,0.32,0.29,0.61,25.0,0.0,1.0,111.0,42.0,1.0,37.84,2.7,1.02,0.12,0.31,65.0,49.0,19.0,40.0,773.0,194.0,25.1,49.0,12.0,37.0,24.0,40.0,2307.0,2804.0,82.28,3388.0,75.0,117.0,64.1,77.0
18,18,Jan Oblak,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Eden Hazard,80000000,BEL,"MF,FW",Real Madrid,La Liga,28.0,51.0,45.0,3930.0,17.0,18.0,4.0,4.0,2.0,0.0,0.39,0.41,0.8,35.0,0.0,0.0,109.0,53.0,0.0,48.62,2.5,1.21,0.16,0.32,15.0,11.0,5.0,16.7,522.0,134.0,25.67,23.0,0.0,23.0,16.0,1.0,2080.0,2569.0,80.97,3197.0,173.0,266.0,65.04,185.0
20,20,Joshua Kimmich,75000000,GER,"MF,DF",Bayern Munich,Bundesliga,24.0,67.0,66.0,5878.0,6.0,20.0,0.0,0.0,11.0,0.0,0.09,0.31,0.4,26.0,0.0,0.0,53.0,21.0,2.0,39.62,0.81,0.32,0.11,0.29,111.0,74.0,41.0,27.5,914.0,296.0,32.39,118.0,15.0,103.0,68.0,79.0,5024.0,5872.0,85.56,6480.0,67.0,99.0,67.68,72.0
21,21,Erling Haaland,72000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Frenkie de Jong,72000000,NED,MF,Barcelona,La Liga,22.0,27.0,24.0,2071.0,2.0,2.0,0.0,0.0,3.0,1.0,0.09,0.09,0.18,4.0,0.0,0.0,4.0,4.0,0.0,100.0,0.17,0.17,0.5,0.5,30.0,22.0,5.0,27.8,308.0,96.0,31.17,24.0,7.0,17.0,23.0,17.0,1470.0,1590.0,92.45,1762.0,35.0,50.0,70.0,37.0
23,23,Paulo Dybala,72000000,ARG,"MF,FW",Juventus,Serie A,25.0,57.0,44.0,3894.0,15.0,9.0,2.0,2.0,6.0,0.0,0.35,0.21,0.56,24.0,1.0,1.0,149.0,48.0,10.0,32.21,3.44,1.11,0.1,0.31,35.0,27.0,6.0,16.0,786.0,185.0,23.54,53.0,2.0,51.0,26.0,2.0,2194.0,2618.0,83.8,3244.0,106.0,193.0,54.92,116.0
